Component_ID,ATA_Code,Part_Number,Component_Name,Title,Language,DAL_Level,Certifiable,Version,Status,Owner,Source_File,Documentation,Test_Suite,Config_File
2400010,ATA-24-00,ATA-24-00-00-SW-010,energy_management_system,Energy Management System (EMS) Software,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-00-00-SW-010_energy_management_system.c,ATA-24-00-00-SWDOC-010_*.md,ATA-24-00-00-SWTEST-010_*/,ATA-24-00-00-SWCFG-010_*.json
2400011,ATA-24-00,ATA-24-00-00-SW-011,power_conversion_firmware,Power Conversion Firmware,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-00-00-SW-011_power_conversion_firmware.c,ATA-24-00-00-SWDOC-011_*.md,ATA-24-00-00-SWTEST-011_*/,ATA-24-00-00-SWCFG-011_*.json
2400012,ATA-24-00,ATA-24-00-00-SW-012,battery_management_system,Battery Management System (BMS) Software,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-00-00-SW-012_battery_management_system.c,ATA-24-00-00-SWDOC-012_*.md,ATA-24-00-00-SWTEST-012_*/,ATA-24-00-00-SWCFG-012_*.json
2400013,ATA-24-00,ATA-24-00-00-SW-013,protections_relay_logic,Protections & Relay Logic Software,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-00-00-SW-013_protections_relay_logic.c,ATA-24-00-00-SWDOC-013_*.md,ATA-24-00-00-SWTEST-013_*/,ATA-24-00-00-SWCFG-013_*.json
2400014,ATA-24-00,ATA-24-00-00-SW-014,power_quality_monitoring,Power Quality Monitoring Software,C,C,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-00-00-SW-014_power_quality_monitoring.c,ATA-24-00-00-SWDOC-014_*.md,ATA-24-00-00-SWTEST-014_*/,ATA-24-00-00-SWCFG-014_*.json
2400015,ATA-24-00,ATA-24-00-00-SW-015,ground_service_tools,Ground/Service Tools & SW,PY,N/A,NO,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-00-00-SW-015_ground_service_tools.py,ATA-24-00-00-SWDOC-015_*.md,ATA-24-00-00-SWTEST-015_*/,ATA-24-00-00-SWCFG-015_*.json
2460009,ATA-24-60,ATA-24-60-00-SW-009,fuel_cell_stack_control,Fuel-Cell Stack Control Software,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-60-00-SW-009_fuel_cell_stack_control.c,ATA-24-60-00-SWDOC-009_*.md,ATA-24-60-00-SWTEST-009_*/,ATA-24-60-00-SWCFG-009_*.json
2460010,ATA-24-60,ATA-24-60-00-SW-010,power_conditioning_unit,Fuel-Cell Power Conditioning SW,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-60-00-SW-010_power_conditioning_unit.c,ATA-24-60-00-SWDOC-010_*.md,ATA-24-60-00-SWTEST-010_*/,ATA-24-60-00-SWCFG-010_*.json
2460011,ATA-24-60,ATA-24-60-00-SW-011,bop_diagnostics,BOP Diagnostics & Predictive Maintenance SW,PY,B,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-60-00-SW-011_bop_diagnostics.py,ATA-24-60-00-SWDOC-011_*.md,ATA-24-60-00-SWTEST-011_*/,ATA-24-60-00-SWCFG-011_*.json
2460012,ATA-24-60,ATA-24-60-00-SW-012,h2_safety_management,H₂ Safety Management Software,C,A,YES,1.0.0,Under Development,AMPEL360 Software Team,ATA-24-60-00-SW-012_h2_safety_management.c,ATA-24-60-00-SWDOC-012_*.md,ATA-24-60-00-SWTEST-012_*/,ATA-24-60-00-SWCFG-012_*.json
