CG_Position_%MAC,Max_Jack_Load_Nose_kg,Max_Jack_Load_Main_LH_kg,Max_Jack_Load_Main_RH_kg,Total_Aircraft_Weight_kg,Notes
15.0,12500,18000,18000,48500,Forward CG limit - nose heavy configuration
16.0,12000,18200,18200,48400,
17.0,11500,18400,18400,48300,
18.0,11000,18600,18600,48200,
19.0,10500,18800,18800,48100,
20.0,10000,19000,19000,48000,
21.0,9500,19200,19200,47900,
22.0,9000,19400,19400,47800,
23.0,8500,19600,19600,47700,
24.0,8000,19800,19800,47600,
25.0,7500,20000,20000,47500,Nominal CG position - balanced configuration
26.0,7000,20200,20200,47400,
27.0,6500,20400,20400,47300,
28.0,6000,20600,20600,47200,
29.0,5500,20800,20800,47100,
30.0,5000,21000,21000,47000,
31.0,4500,21200,21200,46900,
32.0,4000,21400,21400,46800,
33.0,3500,21600,21600,46700,
34.0,3000,21800,21800,46600,
35.0,2500,22000,22000,46500,Aft CG limit - tail heavy configuration
