Tool_ID,Tool_Description,Calibration_Interval_Months,Last_Calibration_Date,Next_Due_Date,Calibration_Lab,Certificate_Number,Status
TORQUE-CLICK-025-200,Torque Wrench 1/4" 20-200 in-lbs,6,2025-10-27,2025-10-27,Precision Calibration Labs,PCL-2024-1001,DUE
TORQUE-CLICK-037-60,Torque Wrench 3/8" 5-60 ft-lbs,6,2025-10-27,2025-10-27,Precision Calibration Labs,PCL-2024-1023,CURRENT
TORQUE-CLICK-050-150,Torque Wrench 1/2" 20-150 ft-lbs,6,2025-10-27,2025-10-27,Precision Calibration Labs,PCL-2024-1145,CURRENT
TORQUE-CLICK-050-250,Torque Wrench 1/2" 40-250 ft-lbs,6,2025-10-27,2025-10-27,Precision Calibration Labs,PCL-2024-1289,CURRENT
TORQUE-BEAM-037-75,Beam Torque Wrench 3/8" 0-75 ft-lbs,12,2025-10-27,2025-10-27,Precision Calibration Labs,PCL-2024-0078,DUE
TORQUE-BEAM-050-150,Beam Torque Wrench 1/2" 0-150 ft-lbs,12,2025-10-27,2025-10-27,Precision Calibration Labs,PCL-2024-0156,CURRENT
TORQUE-DIGITAL-037-100,Digital Torque Wrench 3/8" 5-100 ft-lbs,6,2025-10-27,2025-10-27,Precision Calibration Labs,PCL-2024-1456,CURRENT
DRILL-PNEU-037-2500,Pneumatic Drill 3/8" 0-2500 RPM,12,2025-10-27,2025-10-27,Air Tool Service Inc,ATS-2024-0045,CURRENT
DRILL-PNEU-RA-037-1800,Pneumatic Drill RA 3/8" 0-1800 RPM,12,2025-10-27,2025-10-27,Air Tool Service Inc,ATS-2024-0089,CURRENT
RIVET-PNEU-3X-900,Pneumatic Rivet Gun 3X 900 lbs,12,2025-10-27,2025-10-27,Air Tool Service Inc,ATS-2024-0123,CURRENT
IMPACT-PNEU-037-65,Pneumatic Impact 3/8" 65 ft-lbs,12,2025-10-27,2025-10-27,Air Tool Service Inc,ATS-2024-0167,CURRENT
IMPACT-PNEU-050-150,Pneumatic Impact 1/2" 150 ft-lbs,12,2025-10-27,2025-10-27,Air Tool Service Inc,ATS-2024-0201,CURRENT
GRINDER-PNEU-DIE-25K,Pneumatic Die Grinder 25000 RPM,12,2025-10-27,2025-10-27,Air Tool Service Inc,ATS-2024-0234,CURRENT
CALIPER-DIGITAL-6,Digital Caliper 0-6 inch,12,2025-10-27,2025-10-27,Metrology Services Corp,MSC-2024-0567,CURRENT
MICROMETER-DIGITAL-1,Digital Micrometer 0-1 inch,12,2025-10-27,2025-10-27,Metrology Services Corp,MSC-2024-0568,CURRENT
MICROMETER-DIGITAL-2,Digital Micrometer 1-2 inch,12,2025-10-27,2025-10-27,Metrology Services Corp,MSC-2024-0569,CURRENT
GAGE-DEPTH-6,Depth Gauge 0-6 inch,12,2025-10-27,2025-10-27,Metrology Services Corp,MSC-2024-0623,CURRENT
GAGE-HEIGHT-12,Height Gauge 0-12 inch,12,2025-10-27,2025-10-27,Metrology Services Corp,MSC-2024-0624,CURRENT
INDICATOR-DIAL-001,Dial Indicator 0.001 inch,12,2025-10-27,2025-10-27,Metrology Services Corp,MSC-2024-0701,CURRENT
GAGE-PIN-SET-1,Pin Gauge Set 0.011-0.500 inch,24,2025-10-27,2025-10-27,Metrology Services Corp,MSC-2023-0234,CURRENT
GAGE-THREAD-SET-1,Thread Gauge Set SAE,24,2025-10-27,2025-10-27,Metrology Services Corp,MSC-2023-0235,CURRENT
MULTIMETER-DIGITAL-1,Digital Multimeter Fluke 87V,12,2025-10-27,2025-10-27,Electronics Cal Lab,ECL-2024-0445,CURRENT
PRESSURE-GAGE-3000,Pressure Gauge 0-3000 PSI,12,2025-10-27,2025-10-27,Pressure Systems Cal,PSC-2024-0189,CURRENT
PRESSURE-GAGE-5000,Pressure Gauge 0-5000 PSI,12,2025-10-27,2025-10-27,Pressure Systems Cal,PSC-2024-0190,CURRENT
THERMOMETER-DIGITAL-1,Digital Thermometer -50 to 500F,12,2025-10-27,2025-10-27,Temperature Cal Services,TCS-2024-0112,CURRENT
