Parameter,Value,Unit,Standard,Notes
Seat_Rail_Pitch,25.4,mm,SAE_AS8049,"Standard seat track spacing (1 inch)"
Minimum_Lap_Belt_Width,50.8,mm,14_CFR_25.785,"2 inches minimum"
Minimum_Shoulder_Belt_Width,50.8,mm,14_CFR_25.785,"2 inches minimum"
Maximum_Bonding_Resistance,2.5,mΩ,Aircraft_Standard,"Between seat and structure"
HIC15_Limit,1000,—,14_CFR_25.562,"Head Injury Criterion (15 ms)"
HIC36_Limit,1000,—,14_CFR_25.562,"Head Injury Criterion (36 ms)"
Chest_Acceleration_Limit,60,g,14_CFR_25.562,"Peak resultant chest acceleration"
Femur_Load_Limit,10000,N,14_CFR_25.562,"Per leg"
Lumbar_Load_Limit,6672,N,14_CFR_25.562,"Axial compression"
Shoulder_Belt_Load_Limit,16000,N,14_CFR_25.562,"On a shoulder"
Vertical_Burn_Limit,203.2,mm,14_CFR_25.853(a),"8 inches maximum burn length in 60 seconds"
Heat_Release_Peak_Limit,65,kW/m²,14_CFR_25.853(b),"Peak heat release rate"
Heat_Release_Total_Limit,65,kW·min/m²,14_CFR_25.853(b),"Total heat release in 2 minutes"
Smoke_Density_Limit,200,Ds,14_CFR_25.853(c),"Specific optical density"
Forward_16g_Peak,16,g,14_CFR_25.562,"Forward-facing seat test"
Rearward_14g_Peak,14,g,14_CFR_25.562,"Aft-facing seat test"
Velocity_Change,13.4,m/s,14_CFR_25.562,"44 ft/s"
