Regulation,Section,Requirement,ATA_42_Reference,Status,Verification_Method
DO-178C,A-1,High-level requirements are developed,02-ARCHITECTURE_AND_SERVICES/REQUIREMENTS/,Complete,Review
DO-178C,A-2,Derived requirements are identified,02-ARCHITECTURE_AND_SERVICES/REQUIREMENTS/,Complete,Trace
DO-178C,A-7,MC/DC coverage achieved,03-VERIFICATION_AND_SOFTWARE_ASSURANCE/SUBSYSTEMS_AND_COMPONENTS/03-50_STRUCTURAL_COVERAGE_ANALYSIS/,Complete,Test
ARINC 653,3.1,Partition isolation enforced,02-ARCHITECTURE_AND_SERVICES/SUBSYSTEMS_AND_COMPONENTS/02-20_PARTITION_SERVICES/,Complete,Test+Analysis
ARINC 653,3.2,Time partitioning implemented,02-ARCHITECTURE_AND_SERVICES/SUBSYSTEMS_AND_COMPONENTS/02-10_KERNEL_SERVICES/,Complete,Test+Analysis
ARINC 653,4.1,Sampling ports provided,02-ARCHITECTURE_AND_SERVICES/SUBSYSTEMS_AND_COMPONENTS/02-40_COMMUNICATION_SERVICES/,Complete,Test
ARINC 653,4.2,Queuing ports provided,02-ARCHITECTURE_AND_SERVICES/SUBSYSTEMS_AND_COMPONENTS/02-40_COMMUNICATION_SERVICES/,Complete,Test
ED-202A,5.1,MILS separation kernel verified,04-SECURITY_AND_UPDATE_MECHANISMS/CERTIFICATION/,InProgress,Formal Methods
ED-203,4.2,Secure boot implemented,04-SECURITY_AND_UPDATE_MECHANISMS/SUBSYSTEMS_AND_COMPONENTS/04-10_SECURE_BOOT/,Complete,Test
DO-330,5.1,Toolchain qualified,07-MATERIALS_M_AND_P_AND_TOOLCHAIN/CERTIFICATION/,Complete,Qualification Data
