Regulation_ID,Standard,Clause,Requirement_Summary,ATA_28-40_Document,Compliance_Status,Verification_Method,Remarks
FAA-25.951,FAA Part 25.951,§25.951(a),Fuel system design must prevent hazards,DESC_28-40-01,Compliant,Design Review,"Overall system safety assessment"
FAA-25.951,FAA Part 25.951,§25.951(b),Fuel tank protection from ignition sources,PROC_28-40-60,Compliant,Test + Analysis,"Relief valve and emergency venting"
EASA-CS25,EASA CS-25 AMC 25.951,AMC 25.951,Fuel system safety analysis,DESC_28-40-01,Compliant,FMEA,"Documented in safety analysis"
SAE-AIR6464,SAE AIR6464,Section 4,Cryogenic storage system design,DESC_28-40-20,Compliant,Design Review,"Tank and vacuum jacket design"
SAE-AIR6464,SAE AIR6464,Section 5,Thermal control and insulation,DATA_28-40-51,Compliant,Test Data,"Boil-off validation"
ISO-21010,ISO 21010,Clause 6,Cryogenic vessel design and construction,PROC_28-40-21,Compliant,Hydrotest,"Pressure testing per standard"
ISO-21010,ISO 21010,Clause 7,Materials for cryogenic service,DATA_28-40-70,Compliant,Material Certs,"CoC for all cryo materials"
ISO-13985,ISO 13985,Clause 8,LH2 container requirements,DESC_28-40-20,Compliant,Design Review,"Vehicle fuel container standard"
ASME-BPVC,ASME BPVC Section VIII,Division 1,Pressure vessel construction,PROC_28-40-21,Compliant,Code Stamping,"ASME U-stamp if required"
ASTM-D7566,ASTM D7566,General,SAF quality specifications,DATA_28-40-13,Compliant,Lab Testing,"SAF acceptance criteria"
ASTM-E1417,ASTM E1417,General,Liquid penetrant examination,PROC_28-40-50,Compliant,NDT Procedure,"Dye penetrant for welds"
ASTM-E1444,ASTM E1444,General,Magnetic particle examination,PROC_28-40-50,Compliant,NDT Procedure,"Ferrous material inspection"
ASME-B31.3,ASME B31.3,General,Process piping design,DATA_28-40-31,Compliant,Design Calc,"Line sizing and materials"
CGA-G5.4,CGA G-5.4,General,Standard for hydrogen service,PROC_28-40-30,Compliant,Procedure,"Purging and inerting"
NFPA-55,NFPA 55,Chapter 12,Compressed gases and cryogenic fluids,DESC_28-40-61,Compliant,Safety Analysis,"Emergency response planning"
29CFR-1910.146,29 CFR 1910.146,General,Permit-required confined spaces,PROC_28-40-30,Compliant,Safety Procedure,"LOTO and confined space entry"
